"country","local_id","global_id","type","day","month","year","participant_age","participant_gender","participant_occupation","participant_occ_detail","participant_education","participant_edu_length","participant_school_year","participant_nationality","hh_size","hh_age_1","hh_age_2","hh_age_3","hh_age_4","hh_age_5","hh_age_6","hh_age_7","hh_age_8","hh_age_9","hh_age_10","hh_age_11","hh_age_12","hh_age_13","hh_age_14","hh_age_15","hh_age_16","hh_age_17","hh_age_18","hh_age_19","hh_age_20","class_size","work_contacts","work_contacts_nr","child_care","child_care_detail","child_relationship","child_nationality","problems","diary_how","diary_missed_unsp","diary_missed_skin","diary_missed_noskin","diary_weight","dayofweek","weekday","holiday","cnt_count"
"BE",60005,240020,1,11,2,2011,91,"F",NA,NA,NA,NA,NA,"BE",2,91,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BE","N",NA,2,NA,NA,NA,5,"Y","N",21
"BE",60006,240024,1,6,2,2011,88,"F",3,NA,1,NA,NA,"BE",1,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BE","N",NA,1,NA,NA,NA,0,"N","N",15
"BE",60007,240028,1,6,2,2011,90,"F",3,NA,1,NA,NA,"BE",1,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BE","N",NA,2,NA,NA,NA,0,"N","N",11
"BE",60008,240032,1,7,2,2011,90,"F",2,NA,1,NA,NA,"BE",1,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BE","N",NA,1,NA,NA,NA,1,"Y","N",10
"BE",60009,240036,1,6,2,2011,89,"F",3,NA,1,NA,NA,"BE",1,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BE","N",NA,2,NA,NA,NA,0,"N","N",20
"BE",60011,240044,1,6,2,2011,93,"F",2,NA,1,NA,NA,"BE",1,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BE","N",NA,2,NA,NA,NA,0,"N","N",18
"BE",60012,240048,1,6,2,2011,95,"F",3,NA,1,NA,NA,"BE",1,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BE","N",NA,2,NA,NA,NA,0,"N","N",20
"BE",65989,263956,1,15,11,2010,47,"F",3,NA,5,NA,NA,"BE",4,17,21,47,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE","N",NA,1,NA,NA,NA,1,"Y","N",19
"BE",72620,290480,1,29,10,2010,32,"F",1,NA,4,NA,NA,"BE",4,29,32,35,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE",NA,NA,1,NA,NA,NA,5,"Y","N",15
"BE",77167,308668,1,16,11,2010,46,"F",3,NA,3,NA,NA,"BE",4,18,23,47,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE","N",NA,2,NA,NA,NA,2,"Y","N",8
"BE",78144,312576,1,29,10,2010,75,"M",2,NA,6,NA,NA,"BE",1,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BE","N",NA,2,NA,NA,NA,5,"Y","N",7
"BE",81043,324172,1,14,12,2010,54,"M",1,NA,5,NA,NA,"BE",2,53,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE",NA,NA,1,NA,NA,NA,2,"Y","N",12
"BE",81678,326712,1,31,10,2010,52,"M",1,NA,5,NA,NA,"BE",5,12,21,21,47,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE",NA,NA,1,NA,NA,NA,0,"N","Y",21
"BE",81991,327964,1,17,11,2010,22,"M",5,NA,3,NA,NA,"EU",3,53,57,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU",NA,NA,2,NA,NA,NA,3,"Y","N",12
